Date,Region,WeatherSignal,Market,Ticker,Name,Exchange,EntryPrice,Return1D_pct,Return3D_pct,Return7D_pct
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,XOM,Exxon Mobil,NYSE,153.52999877929688,1.29,2.05,1.12
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,CVX,Chevron,NYSE,196.97000122070312,2.7,3.97,4.34
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,SLB,Schlumberger,NYSE,44.560001373291016,-7.49,-5.57,-8.28
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,HAL,Halliburton,NYSE,34.84000015258789,-3.03,0.55,-0.71
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,LNG,Cheniere Energy,NYSE,253.83999633789062,1.41,1.21,3.16
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,TRV,Travelers,NYSE,302.010009765625,0.87,-0.03,-2.53
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,ALL,Allstate,NYSE,205.02999877929688,-0.27,-1.28,-4.02
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,CB,Chubb,NYSE,329.55999755859375,2.11,1.59,-2.58
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,HIG,Hartford,NYSE,134.41000366210938,-0.41,-2.57,-4.73
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,RCL,Royal Caribbean,NYSE,266.489990234375,-6.99,-8.28,-11.09
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,CCL,Carnival,NYSE,23.920000076293945,-7.89,-9.36,-16.16
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,VST,Vistra,NYSE,159.5800018310547,0.26,-2.47,-1.31
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,NRG,NRG Energy,NYSE,152.10000610351562,2.33,-2.14,-6.15
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,SO,Southern Company,NYSE,97.83999633789062,1.64,0.61,1.08
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,DUK,Duke Energy,NYSE,131.82000732421875,1.38,0.56,0.3
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,ADM,Archer-Daniels-Midland,NYSE,72.5,2.36,6.74,6.63
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,BG,Bunge,NYSE,125.83000183105469,2.53,5.93,7.9
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,MOS,Mosaic,NYSE,31.360000610351562,7.58,16.49,18.09
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,NTR,Nutrien,NYSE,83.94000244140625,5.84,10.72,12.79
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,CF,CF Industries,NYSE,136.0,13.21,22.48,27.94
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,HSY,Hershey,NYSE,215.5,-1.08,-3.27,-7.97
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,GIS,General Mills,NYSE,39.400001525878906,-3.1,-9.22,-11.54
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,XLE,Energy Select Sector SPDR,ETF,57.5099983215332,0.93,2.11,1.75
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,OIH,VanEck Oil Services ETF,ETF,372.4700012207031,-3.26,-1.75,-3.14
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,KIE,SPDR Insurance ETF,ETF,55.189998626708984,-0.38,-2.13,-4.99
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,JETS,US Global Jets ETF,ETF,24.219999313354492,-3.97,-6.01,-11.7
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,XLU,Utilities Select Sector SPDR,ETF,46.5,0.71,-0.75,-1.21
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,UNG,United States Natural Gas Fund,ETF,13.039999961853027,1.24,5.93,6.19
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,CORN,Teucrium Corn Fund,ETF,18.59000015258789,0.38,2.14,3.91
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,WEAT,Teucrium Wheat Fund,ETF,22.920000076293945,0.31,-0.26,4.9
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,SOYB,Teucrium Soybean Fund,ETF,24.84000015258789,0.49,2.56,3.76
2026-03-13,North Atlantic,Storm intensification,Shipping / LNG / Insurance,MOO,VanEck Agribusiness ETF,ETF,84.76000213623047,1.17,2.55,1.88
