metric,value
gulf_storm_index,2.63
us_east_coast_storm_index,2.84
north_sea_storm_index,12.43
china_east_storm_index,0.0
texas_mean_temp_c,18.21
california_mean_temp_c,22.12
nw_europe_mean_temp_c,3.47
cornbelt_hotdry_score,-7.8
us_wheat_hotdry_score,10.18
argentina_soy_hotdry_score,7.11
black_sea_hotdry_score,3.4
brazil_coffee_precip_mm,18.69
west_africa_cocoa_precip_mm,8.06
india_monsoon_precip_mm,1.01
canadian_prairies_hotdry_score,2.36
mato_grosso_hotdry_score,9.89
rhine_corridor_precip_mm,15.46
rhine_corridor_storm_index,0.0
panama_canal_precip_mm,2.7
sea_palm_oil_precip_mm,18.64
sea_palm_oil_hotdry_score,18.47
