metric,value
gulf_storm_index,6.53
us_east_coast_storm_index,36.63
north_sea_storm_index,24.26
china_east_storm_index,0.0
texas_mean_temp_c,12.21
california_mean_temp_c,20.7
nw_europe_mean_temp_c,3.59
cornbelt_hotdry_score,-10.93
us_wheat_hotdry_score,-0.84
argentina_soy_hotdry_score,19.07
black_sea_hotdry_score,3.93
brazil_coffee_precip_mm,24.81
west_africa_cocoa_precip_mm,6.03
india_monsoon_precip_mm,0.82
canadian_prairies_hotdry_score,-6.14
mato_grosso_hotdry_score,10.65
rhine_corridor_precip_mm,21.12
rhine_corridor_storm_index,0.0
panama_canal_precip_mm,3.64
sea_palm_oil_precip_mm,19.87
sea_palm_oil_hotdry_score,18.11
